cell_line,depmap_id,lineage,outer_fold,model,b2_fallback,b3_neighbor_cell_line,rmse_delta,nrmse_delta,pcc_delta,spearman_delta,signed_top50_overlap,pcc_context,rmse_gain_vs_b1,nrmse_gain_vs_b1,rmse_gain_vs_b4,nrmse_gain_vs_b4,rmse_gain_vs_cclr,outer_test_response_used_for_fit,report_order
TE6_OESOPHAGUS,ACH-000605,esophagus,0,B1_MEAN_W5,False,,0.3480698044502381,0.9316513977566347,0.363366716743207,0.2842294620158081,0.2,,0.0,0.0,0.0011359908908211702,,2.3063729960692836e-05,False,0
TEN_ENDOMETRIUM,ACH-000397,uterus,1,B1_MEAN_W5,False,,0.3042336116558332,0.9394055885447198,0.3551632224240747,0.2839783083194985,0.16,,0.0,0.0,-0.0012136874859092761,,-0.0010636335450053824,False,0
TUHR4TKB_KIDNEY,ACH-000495,kidney,1,B1_MEAN_W5,False,,0.3285532169704673,0.9358561052497112,0.3621593460821815,0.2920966078107196,0.12,,0.0,0.0,-0.0024733594208892207,,-0.001645517192406909,False,0
UACC257_SKIN,ACH-000579,skin,0,B1_MEAN_W5,False,,0.3838640308876447,0.8656072658967552,0.5193736746516762,0.4045067931164763,0.08,,0.0,0.0,-0.010144767071968597,,-0.009043028597497005,False,0
22RV1_PROSTATE,ACH-000956,prostate,1,B4_DIRECT_RIDGE_W5,False,,0.4132808941291311,0.962955664679331,0.2627160288522447,0.2346214330664114,0.06,0.0840558215306248,0.0012980465192495,0.0030244835086379,0.0,,-0.0001351049744611199,False,1
42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2,B4_DIRECT_RIDGE_W5,False,,0.2120563830810573,0.8858778733795312,0.4990349356134704,0.3761732220617931,0.32,0.139189112930812,0.0019299392662188,0.0080624335286153,0.0,,4.3865455459507485e-05,False,1
769P_KIDNEY,ACH-000411,kidney,3,B4_DIRECT_RIDGE_W5,False,,0.2599334572543249,0.8883132233100552,0.4646850721460512,0.3308389990618587,0.35,0.1001041954235523,0.0010730903606473,0.0036672476380636,0.0,,0.0008944758338852998,False,1
786O_KIDNEY,ACH-000649,kidney,2,B4_DIRECT_RIDGE_W5,False,,0.1878683842500525,0.8821775627826446,0.5308396445376977,0.38640459166891,0.38,0.2156052127762888,0.0053570968090182,0.0251554332861041,0.0,,0.0005274720930955046,False,1
8505C_THYROID,ACH-001307,thyroid,0,B4_DIRECT_RIDGE_W5,False,,0.2848947051313276,0.8476581370652941,0.5277577693612379,0.4235505317738657,0.27,0.1370177066449724,0.0025691743371397,0.0076441628896259,0.0,,0.000747574544837315,False,1
A2780_OVARY,ACH-000657,ovary,0,B4_DIRECT_RIDGE_W5,False,,0.2724974489189545,0.8574901072637664,0.5142439333704409,0.4041699225642615,0.18,0.1096369301073702,0.0007190861766629,0.0022628075426204,0.0,,0.0016612136622314866,False,1
A375_SKIN,ACH-000219,skin,1,B4_DIRECT_RIDGE_W5,False,,0.3831290237884984,0.8080855244872529,0.6442164627522029,0.4979140558876483,0.21,0.2587676735289194,0.0090002269378857,0.0189830387520331,0.0,,0.0009811323139232164,False,1
ACCMESO1_PLEURA,ACH-000086,mesothelioma,3,B4_DIRECT_RIDGE_W5,False,,0.1898660328746673,0.8697297417208564,0.5234937466676323,0.3852555787511812,0.4,0.1411983891057049,0.0023502407499604,0.0107658765999197,0.0,,-1.6682416764890462e-05,False,1
AGS_STOMACH,ACH-000880,gastric,0,B4_DIRECT_RIDGE_W5,False,,0.2832516702888807,0.877296177499431,0.4765750032234029,0.3666484110859871,0.22,0.0918754057574141,0.0006776936601716,0.0020989745867263,0.0,,0.0003035016274759994,False,1
