outer_fold,model,inner_fold,dimension,alpha,mean_rmse
4,B4,2,5,1.0,0.3162673039036093
4,B4,2,5,10.0,0.3138314768503236
4,B4,2,5,100.0,0.3097334136670234
4,B3,2,10,,0.4108884032026069
4,B4,2,10,0.01,0.3192252302240086
4,B4,2,10,0.1,0.31918063256602813
4,B4,2,10,1.0,0.31874774029857056
4,B4,2,10,10.0,0.3154630622433892
4,B4,2,10,100.0,0.309620858308641
4,B3,2,20,,0.4323245073855534
4,B4,2,20,0.01,0.3228542886846542
4,B4,2,20,0.1,0.3227953911646798
4,B4,2,20,1.0,0.32222329103142866
4,B4,2,20,10.0,0.3178533683816365
4,B4,2,20,100.0,0.3096540180373982
4,B3,2,30,,0.41557756991943046
4,B4,2,30,0.01,0.32430218728959714
4,B4,2,30,0.1,0.32423656140166307
4,B4,2,30,1.0,0.32359899170035683
4,B4,2,30,10.0,0.318721595118555
4,B4,2,30,100.0,0.30950365494375426
4,B3,3,5,,0.44639153554267136
4,B4,3,5,0.01,0.3368206509553854
4,B4,3,5,0.1,0.33679672211337147
4,B4,3,5,1.0,0.3365649672230359
4,B4,3,5,10.0,0.3348456291918225
4,B4,3,5,100.0,0.3325187007955878
4,B3,3,10,,0.44478250267507313
4,B4,3,10,0.01,0.3412360628809815
4,B4,3,10,0.1,0.34119339347526306
4,B4,3,10,1.0,0.3407792566541704
4,B4,3,10,10.0,0.3376427011307119
4,B4,3,10,100.0,0.33234379565541305
4,B3,3,20,,0.43125751515268784
4,B4,3,20,0.01,0.3472877393936403
4,B4,3,20,0.1,0.3472241824147888
4,B4,3,20,1.0,0.3466063442236666
4,B4,3,20,10.0,0.34185639145227775
4,B4,3,20,100.0,0.3327445731311274
4,B3,3,30,,0.4361358960884625
4,B4,3,30,0.01,0.34996928870263105
4,B4,3,30,0.1,0.3498951716532467
4,B4,3,30,1.0,0.3491744341501659
4,B4,3,30,10.0,0.3436160777920879
4,B4,3,30,100.0,0.33271811154901265
