cell_line,depmap_id,disease,condition,time_hours,n_cells,library_size,source_tag,eligible_t10,eligible_t20,eligible_t30
SKMEL2_SKIN,ACH-001190,skin cancer,control,6,73,1826061,DMSO_6hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,control,12,83,2092717,DMSO_12hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,control,24,94,2413397,DMSO_24hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,control,48,179,4852872,DMSO_48hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,trametinib,3,64,1700166,Tram_3hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,trametinib,6,87,2138679,Tram_6hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,trametinib,12,59,1453106,Tram_12hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,trametinib,24,82,1818157,Tram_24hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,trametinib,48,25,759591,Tram_48hr,True,True,False
SKMEL2_SKIN,ACH-001190,skin cancer,untreated,48,101,2465531,Untreated_48hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,control,3,25,934360,DMSO_3hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,control,6,24,866942,DMSO_6hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,control,12,29,1106392,DMSO_12hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,control,24,31,1226829,DMSO_24hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,control,48,53,1991315,DMSO_48hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,trametinib,3,26,904883,Tram_3hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,trametinib,6,32,1194823,Tram_6hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,trametinib,12,26,917434,Tram_12hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,trametinib,24,41,1118149,Tram_24hr,True,True,False
SKMEL3_SKIN,ACH-000423,skin cancer,trametinib,48,32,877802,Tram_48hr,True,True,False
